return_id,order_id,return_date,reason
RET-00001,ORD-2024-00196,2024-12-27,Changed Mind
RET-00002,ORD-2024-00311,2024-12-10,Changed Mind
RET-00003,ORD-2024-00001,2024-12-05,Damaged in Transit
RET-00004,ORD-2024-00358,2024-12-29,Defective
RET-00005,ORD-2024-00319,2024-12-28,
RET-00006,ORD-2024-00051,2024-12-26,Wrong Item
RET-00007,ORD-2024-00226,2024-12-17,Damaged in Transit
RET-00008,ORD-2024-00393,2024-12-30,Damaged in Transit
RET-00009,ORD-2024-00183,2024-12-22,Defective
RET-00010,ORD-2024-00268,2024-12-17,Defective
RET-00011,ORD-2024-00235,2024-12-28,Defective
RET-00012,ORD-2024-00085,2024-11-07,Damaged in Transit
RET-00013,ORD-2024-00241,2024-12-04,Expired
RET-00014,ORD-2024-00337,2024-12-18,Changed Mind
RET-00015,ORD-2024-00052,2024-12-27,Expired
RET-00016,ORD-2024-00056,2024-12-08,Wrong Item
RET-00017,ORD-2024-00302,2024-12-21,Expired
RET-00018,ORD-2024-00380,2024-12-06,Damaged in Transit
RET-00019,ORD-2024-00182,2024-12-29,Damaged in Transit
RET-00020,ORD-2024-00055,2024-12-15,
RET-00021,ORD-2024-00052,2024-12-01,Wrong Item
RET-00022,ORD-2024-00038,2024-12-10,Wrong Item
RET-00023,ORD-2024-00090,2024-12-09,Defective
RET-00024,ORD-2024-00333,2024-12-03,Expired
RET-00025,ORD-2024-00144,2024-12-17,Changed Mind
RET-00026,ORD-2024-00161,2024-12-29,Wrong Item
RET-00027,ORD-2024-00113,2024-12-15,Damaged in Transit
RET-00003,ORD-2024-00001,2024-12-05,Damaged in Transit
RET-00010,ORD-2024-00268,2024-12-17,Defective
RET-00021,ORD-2024-00052,2024-12-01,Wrong Item
