order_id,order_date,customer_id,product_id,store_id,qty,amount
ORD-2024-00001,2024-11-21,6,23,1,5,13.95
ORD-2024-00002,2024-09-08,38,2,1,4,13.96
ORD-2024-00003,2024-05-09,22,4,5,4,15.96
ORD-2024-00004,2024-04-19,9,15,4,2,17.98
ORD-2024-00005,2024-04-02,30,1,4,5,2.95
ORD-2024-00006,2024-06-13,7,6,3,5,29.95
ORD-2024-00007,2024-04-03,7,12,4,5,26.45
ORD-2024-00008,2024-11-03,32,23,3,2,5.58
ORD-2024-00009,2024-06-02,2,15,1,1,8.99
ORD-2024-00010,2024-04-18,1,14,2,1,5.99
ORD-2024-00011,2024-08-10,9001,25,4,4,21.96
ORD-2024-00012,2024-06-08,30,7,1,3,19.47
ORD-2024-00013,2024-06-24,25,24,3,5,59.95
ORD-2024-00014,2024-02-01,28,3,2,4,19.96
ORD-2024-00015,2024-11-01,34,2,5,5,17.45
ORD-2024-00016,2024-07-12,32,6,2,5,29.95
ORD-2024-00017,2024-07-09,1,15,5,1,8.99
ORD-2024-00018,2024-04-01,38,4,2,3,11.97
ORD-2024-00019,2024-01-18,7,25,5,4,21.96
ORD-2024-00020,2024-09-03,10,4,3,5,19.95
ORD-2024-00021,2024-10-30,18,7,5,5,32.45
ORD-2024-00022,2024-03-08,11,11,2,4,5.96
ORD-2024-00023,2024-05-28,45,2,2,2,6.98
ORD-2024-00024,2024-11-23,5,2,2,1,3.49
ORD-2024-00025,2024-07-03,32,13,5,4,19.16
ORD-2024-00026,2024-01-08,10,16,5,3,5.97
ORD-2024-00027,2024-02-14,19,12,4,5,26.45
ORD-2024-00028,2024-10-25,42,15,4,4,35.96
ORD-2024-00029,2024-04-19,11,6,4,5,29.95
ORD-2024-00030,2024-02-04,35,13,1,4,19.16
ORD-2024-00031,2024-10-15,2,4,2,2,7.98
ORD-2024-00032,2024-04-04,33,13,1,5,23.95
ORD-2024-00033,2024-09-18,11,6,3,1,5.99
ORD-2024-00034,2024-05-29,24,11,4,5,7.45
ORD-2024-00035,2024-07-04,26,4,5,3,11.97
ORD-2024-00036,2024-05-14,20,15,4,3,26.97
ORD-2024-00037,2024-11-01,5,19,3,1,6.99
ORD-2024-00038,2024-04-19,31,20,2,5,17.45
ORD-2024-00039,2024-09-12,20,12,4,1,5.29
ORD-2024-00040,2024-10-15,46,7,2,5,32.45
ORD-2024-00041,2024-05-29,47,8,5,3,29.97
ORD-2024-00042,2024-07-29,24,22,3,5,42.45
ORD-2024-00043,2024-04-20,7,11,1,2,2.98
ORD-2024-00044,2024-07-07,25,8,4,4,39.96
ORD-2024-00045,2024-05-25,46,8,1,2,19.98
ORD-2024-00046,2024-08-01,46,18,5,1,7.99
ORD-2024-00047,2024-02-23,45,10,5,1,2.49
ORD-2024-00048,2024-05-22,17,19,4,4,27.96
ORD-2024-00049,2024-11-23,48,23,1,3,8.37
ORD-2024-00050,2024-03-28,1,19,2,2,13.98
ORD-2024-00051,2024-11-18,5,7,3,2,12.98
ORD-2024-00052,2024-04-27,41,21,4,5,14.95
ORD-2024-00053,2024-08-24,13,12,1,4,21.16
ORD-2024-00054,2024-03-09,8,7,1,3,19.47
ORD-2024-00055,2024-09-02,40,22,5,5,42.45
