order_id,order_date,customer_id,product_id,store_id,qty,amount
ORD-2024-00395,2024-12-25,11,15,2,2,17.98
ORD-2024-00396,2024-12-24,3,18,2,4,31.96
ORD-2024-00397,2024-12-25,11,18,4,2,15.98
ORD-2024-00398,2024-12-17,15,18,2,4,31.96
ORD-2024-00399,2024-12-18,26,5,1,5,22.45
ORD-2024-00400,2024-12-06,30,8,5,5,49.95
ORD-2024-00401,2024-12-12,48,12,4,4,21.16
ORD-2024-00402,2024-12-29,47,21,2,2,5.98
ORD-2024-00403,2024-12-06,20,23,4,2,5.58
ORD-2024-00404,2024-12-27,19,16,2,5,9.95
ORD-2024-00405,2024-12-17,26,3,5,1,4.99
ORD-2024-00406,2024-12-22,49,8,5,5,49.95
ORD-2024-00407,2024-12-18,28,6,4,5,29.95
ORD-2024-00408,2024-12-07,41,8,4,1,9.99
ORD-2024-00409,2024-12-15,31,10,4,2,4.98
ORD-2024-00410,2024-12-31,32,19,5,5,34.95
ORD-2024-00411,2024-12-22,8,24,3,3,35.97
ORD-2024-00412,2024-12-10,14,14,3,1,5.99
ORD-2024-00413,2024-12-21,33,14,2,2,11.98
ORD-2024-00414,2024-12-08,41,3,1,2,9.98
ORD-2024-00415,2024-12-07,17,1,3,2,1.18
ORD-2024-00416,2024-12-05,12,5,4,4,17.96
ORD-2024-00417,2024-12-24,11,2,4,3,10.47
ORD-2024-00418,2024-12-04,38,4,3,5,19.95
ORD-2024-00419,2024-12-02,41,20,5,1,3.49
ORD-2024-00420,2024-12-30,47,24,1,5,59.95
ORD-2024-00421,2024-12-05,11,1,3,3,1.77
ORD-2024-00422,2024-12-19,15,4,3,3,11.97
ORD-2024-00423,2024-12-03,33,15,4,4,35.96
ORD-2024-00424,2024-12-09,28,6,4,5,29.95
ORD-2024-00425,2024-12-10,6,12,2,2,10.58
ORD-2024-00426,2024-12-05,49,12,2,5,26.45
ORD-2024-00427,2024-12-23,14,12,5,5,26.45
ORD-2024-00428,2024-12-21,41,21,4,5,14.95
ORD-2024-00429,2024-12-05,13,16,5,3,5.97
ORD-2024-00430,2024-12-05,35,6,5,3,17.97
ORD-2024-00431,2024-12-27,32,20,1,3,10.47
ORD-2024-00432,2024-12-15,6,8,3,2,19.98
ORD-2024-00433,2024-12-16,35,2,3,5,17.45
ORD-2024-00434,2024-12-02,29,13,5,5,23.95
ORD-2024-00435,2024-12-03,35,5,2,4,17.96
ORD-2024-00436,2024-12-21,35,5,4,3,13.47
ORD-2024-00437,2024-12-01,38,24,1,5,59.95
ORD-2024-00438,2024-12-15,42,11,5,2,2.98
ORD-2024-00439,2024-12-25,9,13,2,4,19.16
ORD-2024-00440,2024-12-03,11,10,5,5,12.45
ORD-2024-00441,2024-12-12,7,2,2,5,17.45
ORD-2024-00442,2024-12-28,49,3,1,2,9.98
ORD-2024-00443,2024-12-23,3,12,2,3,15.87
ORD-2024-00444,2024-12-17,2,18,1,4,31.96
